Match_Id,Session_Id,Sport,Match_Number,Match_Result,Match_Type,Tournament_Category,Match_Stage,Score,Partner_Id,Opponent_1_Id,Opponent_2_Id
2026-05-05-padel-m1,2026-05-05-padel,Padel,1,Loss,Friendly,-,-,-,-,-,-
2026-05-07-padel-m1,2026-05-07-padel,Padel,1,Loss,Friendly,-,-,-,-,-,-
2026-05-12-padel-m1,2026-05-12-padel,Padel,1,Win,Friendly,-,-,-,-,-,-
2026-05-19-padel-m1,2026-05-19-padel,Padel,1,Win,Friendly,-,-,-,-,-,-
2026-05-21-padel-m1,2026-05-21-padel,Padel,1,Win,Friendly,-,-,-,-,-,-
2026-05-22-padel-m1,2026-05-22-padel,Padel,1,Win,Friendly,-,-,-,-,-,-
2026-05-26-padel-m1,2026-05-26-padel,Padel,1,-,-,-,-,-,-,-,-
2026-05-28-padel-m1,2026-05-28-padel,Padel,1,-,-,-,-,-,-,-,-
2026-06-02-padel-m1,2026-06-02-padel,Padel,1,-,-,-,-,-,-,-,-
2026-06-04-padel-m1,2026-06-04-padel,Padel,1,-,-,-,-,-,-,-,-
2026-06-05-padel-m1,2026-06-05-padel,Padel,1,-,-,-,-,-,-,-,-
2026-06-08-padel-m1,2026-06-08-padel,Padel,1,-,-,-,-,-,-,-,-
2026-06-09-padel-m1,2026-06-09-padel,Padel,1,Win,Friendly,-,-,6-3,p-mauro-p,p-juan-s,p-lean-r
2026-06-09-padel-m2,2026-06-09-padel,Padel,2,Win,Friendly,-,-,6-1,p-mauro-p,p-guido-r,p-patts
2026-06-09-padel-m3,2026-06-09-padel,Padel,3,Win,Friendly,-,-,6-0,p-mauro-p,p-nico-c,p-juan-g
2026-06-11-padel-m1,2026-06-11-padel,Padel,1,Loss,Friendly,-,-,6-4; 4-6; 6-4,p-juan-s,p-juanpi-g,p-guido-r
2026-06-12-padel-m1,2026-06-12-padel,Padel,1,Loss,Friendly,-,-,7-6; 4-6; 4-6,p-nito,p-guido-r,p-juan-g
2026-06-17-padel-m1,2026-06-17-padel,Padel,1,Win,Friendly,-,-,4-6; 6-4; 6-4,p-juan-g,p-lean-r,p-nico-c
2026-06-18-padel-m1,2026-06-18-padel,Padel,1,Loss,Friendly,-,-,4-6; 6-4; 6-7,p-guido-r,p-juanpi-g,p-sher
2026-06-20-padel-m1,2026-06-20-padel,Padel,1,Loss,Tournament,Americano,grupo,1-6,p-guido-r,p-juan-c,p-juan-l
2026-06-20-padel-m2,2026-06-20-padel,Padel,2,Loss,Tournament,Americano,grupo,3-6,p-guido-r,p-gonzalo-r,p-emma-r
